date,day_of_week,time,title,hosted_by
2024-08-27,Wednesday,20:00,"The Indie Improv Show",
2024-08-27,Wednesday,21:30,"The Reunion: Love is Blind",
2024-08-28,Thursday,20:00,"Turtle Logic",
2024-08-28,Thursday,21:30,"Night Lunch",
2024-08-29,Friday,20:00,"Blumpkin Abbey",
2024-08-29,Friday,21:30,"Sketch Bomb!",
2024-08-29,Friday,23:00,"Action Jackson",
2024-08-30,Saturday,20:00,"The CCB Cage Match (Finals)",
2024-08-31,Sunday,20:00,"The CCB Improv Jam",
2024-10-08,Wednesday,20:00,"Health Plan: A Deconstruction",
2024-10-08,Wednesday,21:30,"The Salon",
2024-10-09,Thursday,20:00,"Smash Cut Presents: The Improvised Movie",
2024-10-09,Thursday,21:30,"The Hedge",
2024-10-10,Friday,20:00,"House Show",
2024-10-10,Friday,21:30,"The Indie Improv Show",
2024-10-11,Saturday,20:00,"Witch Hunt",
2024-10-11,Saturday,21:30,"Full Fat Bear Milk",
2024-10-12,Sunday,20:00,"The CCB Improv Jam",Wet Teeth
2024-11-05,Wednesday,20:00,"20% Berlin Presents: The News Quiz",
2024-11-05,Wednesday,21:30,"Improvylicious Jam",
2024-11-06,Thursday,20:00,"Kringel",
2024-11-06,Thursday,21:30,"Frei erfunden – Improv Comedy und Jam auf Deutsch",
2024-11-07,Friday,20:00,"House Show",
2024-11-07,Friday,21:30,"GLB – Improvised Comedy",
2024-11-08,Saturday,20:00,"Witch Hunt",
2024-11-08,Saturday,21:30,"Laughing Matter",
2024-11-09,Sunday,20:00,"The CCB Improv Jam",Hot Olive
2024-11-10,WEDNESDAY,20:00,"Health Plan: A Deconstruction",
2024-11-10,THURSDAY,20:00,"Smash Cut Presents: The Improvised Movie",
2024-11-10,FRIDAY,20:00,"House Show",
2024-11-10,SATURDAY,20:00,"Exit Stage Left",
2024-11-10,SUNDAY,20:00,"The CCB Improv Jam",
2024-11-10,WEDNESDAY,21:30,"The Salon",
2024-11-10,THURSDAY,21:30,"The Hedge",
2024-11-10,FRIDAY,21:30,"Drive Time with Roadkill",
2024-11-10,SATURDAY,21:30,"It's That Time of the Month",
